exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,proto_weight,local_eval_whole_test_dataset,individual_best_test_acc_avg,individual_avg_test_acc_with_global_prototype,individual_avg_test_acc_with_local_prototype
2023-09-06 03:06,0,fedproto,SGD,0.01,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,5,0.6182267458707156,False,0.1,False,0.6701989957177924,0.0,0.0
2023-09-06 03:07,1,fedproto,SGD,0.01,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,7,0.5997950639774587,False,0.1,False,0.6780729582215657,0.0,0.0
2023-09-06 03:08,2,fedproto,SGD,0.01,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,16,0.5512008124201626,False,0.1,False,0.5841313260153287,0.0,0.0
2023-09-06 03:09,0,fedproto,SGD,0.01,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,5,0.6184736594509624,False,1.0,False,0.6701989957177924,0.0,0.0
2023-09-06 03:11,1,fedproto,SGD,0.01,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,7,0.6003119011195618,False,1.0,False,0.6780729582215657,0.0,0.0
2023-09-06 03:12,2,fedproto,SGD,0.01,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,16,0.5512008124201626,False,1.0,False,0.5841313260153287,0.0,0.0
2023-09-06 03:13,0,fedproto,SGD,0.01,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,5,0.6212043357556764,False,10.0,False,0.6704645761457179,0.0,0.0
2023-09-06 03:14,1,fedproto,SGD,0.01,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,7,0.5871935442135875,False,10.0,False,0.660134840047541,0.0,0.0
2023-09-06 03:15,2,fedproto,SGD,0.01,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,16,0.5512008124201626,False,10.0,False,0.5841313260153287,0.0,0.0
2023-09-06 03:16,0,fedproto,SGD,0.01,pubmed,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.597940623756858,False,0.1,False,0.6431870270007298,0.0,0.0
2023-09-06 03:17,1,fedproto,SGD,0.01,pubmed,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.597809566173071,False,0.1,False,0.6433565603299674,0.0,0.0
2023-09-06 03:21,2,fedproto,SGD,0.01,pubmed,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.5514135783776095,False,0.1,False,0.5562474152356154,0.0,0.0
2023-09-06 03:22,0,fedproto,SGD,0.01,pubmed,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.5985757842229733,False,1.0,False,0.6431870270007298,0.0,0.0
2023-09-06 03:23,1,fedproto,SGD,0.01,pubmed,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.6014337627718171,False,1.0,False,0.6403788928361708,0.0,0.0
2023-09-06 03:27,2,fedproto,SGD,0.01,pubmed,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.5514135783776095,False,1.0,False,0.5562474152356154,0.0,0.0
2023-09-06 03:28,0,fedproto,SGD,0.01,pubmed,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.5992183462962543,False,10.0,False,0.6434025442421092,0.0,0.0
2023-09-06 03:29,1,fedproto,SGD,0.01,pubmed,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.5885748124107245,False,10.0,False,0.6383075697532503,0.0,0.0
2023-09-06 03:33,2,fedproto,SGD,0.01,pubmed,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.5514135783776095,False,10.0,False,0.5562474152356154,0.0,0.0
2023-09-06 03:41,0,fedproto,SGD,0.01,pubmed,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.8155791564022812,False,0.1,False,0.8182884535501731,0.0,0.0
2023-09-06 03:49,1,fedproto,SGD,0.01,pubmed,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.8128056034581427,False,0.1,False,0.813848562036099,0.0,0.0
2023-09-06 03:57,2,fedproto,SGD,0.01,pubmed,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.8115060394559247,False,0.1,False,0.8150534692272204,0.0,0.0
2023-09-06 04:06,0,fedproto,SGD,0.01,pubmed,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.7938957210298694,False,1.0,False,0.8007393659266941,0.0,0.0
2023-09-06 04:14,1,fedproto,SGD,0.01,pubmed,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.764783879036334,False,1.0,False,0.7708025618397035,0.0,0.0
2023-09-06 04:22,2,fedproto,SGD,0.01,pubmed,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.809127121982369,False,1.0,False,0.8090110895697601,0.0,0.0
2023-09-06 04:30,0,fedproto,SGD,0.01,pubmed,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.6077835593947671,False,10.0,False,0.6093806245620118,0.0,0.0
2023-09-06 04:38,1,fedproto,SGD,0.01,pubmed,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.6061097188432835,False,10.0,False,0.6084255736061841,0.0,0.0
2023-09-06 04:47,2,fedproto,SGD,0.01,pubmed,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.6069117880110835,False,10.0,False,0.6104542583796273,0.0,0.0
2023-09-06 04:47,0,fedproto,SGD,0.05,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.6028369729753188,False,0.1,False,0.669613898438223,0.0,0.0
2023-09-06 04:48,1,fedproto,SGD,0.05,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.6011002072965131,False,0.1,False,0.6669003779198717,0.0,0.0
2023-09-06 04:51,2,fedproto,SGD,0.05,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,3,0.5505625145478222,False,0.1,False,0.568085173158094,0.0,0.0
2023-09-06 04:52,0,fedproto,SGD,0.05,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.6035033069370946,False,1.0,False,0.6700262660733032,0.0,0.0
2023-09-06 04:53,1,fedproto,SGD,0.05,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.6001290055946195,False,1.0,False,0.6669003779198717,0.0,0.0
2023-09-06 04:55,2,fedproto,SGD,0.05,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,3,0.5505625145478222,False,1.0,False,0.568085173158094,0.0,0.0
2023-09-06 04:56,0,fedproto,SGD,0.05,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.6097087166359728,False,10.0,False,0.6706728177974411,0.0,0.0
2023-09-06 04:57,1,fedproto,SGD,0.05,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.5870758921215194,False,10.0,False,0.6663501241584299,0.0,0.0
2023-09-06 04:59,2,fedproto,SGD,0.05,pubmed,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,3,0.5505625145478222,False,10.0,False,0.568085173158094,0.0,0.0
