exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,test_acc_based_on_local_proto,local_eval_whole_test_dataset,individual_best_bac_avg,individual_best_f1score_avg,individual_best_test_acc_avg,individual_avg_test_acc_with_global_prototype,individual_avg_test_acc_with_local_prototype,individual_avg_test_f1_with_global_prototype,individual_avg_test_pre_with_local_prototype
2024-04-14 07:53,0,fedpcl,SGD,0.05,citeseer,louvain,7,1,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,180,0.5127758420441346,True,0.6122725512969416,True,0.45728197082161864,0.384465626028267,0.45218737901664735,0.6314363143631436,0.6341463414634146,0.6438533801725502,0.6256804648432387
2024-04-14 08:28,1,fedpcl,SGD,0.05,citeseer,louvain,7,1,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,115,0.518583042973287,True,0.6114982578397212,True,0.42206000116176007,0.3397187729267258,0.41114982578397213,0.629887727448703,0.6318234610917538,0.6384228562739314,0.6274297693263745
2024-04-14 09:02,2,fedpcl,SGD,0.05,citeseer,louvain,7,1,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,39,0.5129694154084398,True,0.6047231900890438,True,0.3662629155467326,0.26596801610570303,0.3586914440572978,0.6316298877274488,0.6217576461478901,0.639709136723834,0.6284697606426192
2024-04-14 09:48,0,fedpcl,SGD,0.05,citeseer,louvain,7,4,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,11,0.4401858304297329,True,0.6240805265195508,True,0.5253398924595613,0.49054609438363544,0.5292295780100658,0.650987224157956,0.6538908246225319,0.6700837501794151,0.6475395199200368
2024-04-14 10:20,1,fedpcl,SGD,0.05,citeseer,louvain,7,4,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,13,0.5571041424699963,True,0.6329849012775842,True,0.5674698160537579,0.5555050002908847,0.562137049941928,0.6387921022067363,0.64847077042199,0.6526401379225459,0.6384470893224876
2024-04-14 10:48,2,fedpcl,SGD,0.05,citeseer,louvain,7,4,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,35,0.4732868757259001,True,0.6093689508323655,True,0.5530626849882124,0.5397443691136485,0.5600077429345722,0.6356949283778552,0.6440185830429732,0.65219474995629,0.6339567121225385
2024-04-14 11:20,0,fedpcl,SGD,0.05,citeseer,louvain,7,16,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,6,0.5989159891598916,True,0.6329849012775842,True,0.6092194386824891,0.6212283373520384,0.6138211382113822,0.6250483933410763,0.629887727448703,0.6400017605989979,0.6185816452343342
2024-04-14 11:53,1,fedpcl,SGD,0.05,citeseer,louvain,7,16,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,3,0.5859465737514518,True,0.6343399148277198,True,0.6197218376903353,0.6346707255166607,0.6234998064266357,0.6329849012775842,0.643437862950058,0.6453870830194661,0.6273094183409799
2024-04-14 12:25,2,fedpcl,SGD,0.05,citeseer,louvain,7,16,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,3,0.5952380952380952,True,0.6300813008130081,True,0.6072109200899105,0.6142578006220409,0.6087882307394502,0.637824235385211,0.6490514905149052,0.6576299018644739,0.6347231207124963
2024-04-14 12:59,0,fedpcl,SGD,0.1,citeseer,louvain,7,1,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,110,0.5238095238095238,True,0.6324041811846691,True,0.5854357883947661,0.5746362591265617,0.5838172667440961,0.64847077042199,0.6554394115369726,0.6658877020528404,0.6488897659642302
2024-04-14 13:34,1,fedpcl,SGD,0.1,citeseer,louvain,7,1,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,41,0.5391018195896244,True,0.6256291134339914,True,0.5107628198487516,0.465280363510623,0.5063879210220674,0.6506000774293457,0.6562137049941928,0.6681311880410371,0.6494205671959099
2024-04-14 14:08,2,fedpcl,SGD,0.1,citeseer,louvain,7,1,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,48,0.5303910181958963,True,0.6215640727835848,True,0.5316858207179302,0.5041973103112695,0.5286488579171505,0.6426635694928378,0.64847077042199,0.6562715497006645,0.6415669466936816
2024-04-14 14:28,0,fedpcl,SGD,0.1,citeseer,louvain,7,4,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,51,0.5571041424699962,True,0.6341463414634145,True,0.6063469976665754,0.6038088598644741,0.6072396438250097,0.6426635694928378,0.6498257839721254,0.6565326980748071,0.639734493112556
2024-04-14 14:50,1,fedpcl,SGD,0.1,citeseer,louvain,7,4,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,13,0.5638792102206736,True,0.6475029036004646,True,0.6086496562501756,0.6066920775349706,0.611111111111111,0.6546651180797521,0.6610530391018196,0.6688969682349184,0.6515610245278609
2024-04-14 15:10,2,fedpcl,SGD,0.1,citeseer,louvain,7,4,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,14,0.5607820363917925,True,0.6275648470770422,True,0.5284848616501652,0.5049287982058146,0.5240030971738289,0.6475029036004646,0.6438250096786682,0.661994391224565,0.6441368466404388
