exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,LP_layer,LP_alpha,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-09-08 21:10,0,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,139,0.7263513855962032,False,1,0.1,False,0.7250703398445693
2023-09-08 21:14,1,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,109,0.7268049352568562,False,1,0.1,False,0.7467883867934992
2023-09-08 21:18,2,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,166,0.7095805609542897,False,1,0.1,False,0.7034160463679673
2023-09-08 21:22,0,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,127,0.7420348890269821,False,1,0.5,False,0.7397037077739931
2023-09-08 21:26,1,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,109,0.739021737424878,False,1,0.5,False,0.7489160463679673
2023-09-08 21:30,2,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,166,0.7301306964556447,False,1,0.5,False,0.7228604908124117
2023-09-08 21:34,0,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,127,0.7420348890269821,False,1,0.9,False,0.7407538432753482
2023-09-08 21:39,1,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,107,0.7409847535256271,False,1,0.9,False,0.7475827130346341
2023-09-08 21:43,2,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,166,0.7363976341250213,False,1,0.9,False,0.725582713034634
2023-09-08 21:47,0,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,140,0.731256822948449,False,2,0.1,False,0.7278481176223469
2023-09-08 21:51,1,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,109,0.7310271574790785,False,2,0.1,False,0.7475827130346341
2023-09-08 21:55,2,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,166,0.7287418075667558,False,2,0.1,False,0.7214160463679674
2023-09-08 21:59,0,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,127,0.7417778349858535,False,2,0.5,False,0.735481485551771
2023-09-08 22:04,1,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,106,0.7395664528720325,False,2,0.5,False,0.7462493797013007
2023-09-08 22:08,2,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,166,0.7238420785694658,False,2,0.5,False,0.7061382685901896
2023-09-08 22:12,0,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,121,0.7446928676655921,False,2,0.9,False,0.7430817565544808
2023-09-08 22:16,1,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,105,0.7433856781231084,False,2,0.9,False,0.7497940951484552
2023-09-08 22:21,2,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,166,0.7361111683191869,False,2,0.9,False,0.7173310790477059
2023-09-08 22:25,0,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,140,0.731256822948449,False,3,0.1,False,0.7302871420125909
2023-09-08 22:29,1,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,109,0.7393866346032615,False,3,0.1,False,0.7490533012699281
2023-09-08 22:33,2,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,166,0.7315195853445335,False,3,0.1,False,0.7228604908124117
2023-09-08 22:38,0,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,122,0.7419150898878144,False,3,0.5,False,0.7430817565544808
2023-09-08 22:42,1,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,105,0.7261274284817885,False,3,0.5,False,0.7497940951484552
2023-09-08 22:46,2,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,166,0.7182865230139103,False,3,0.5,False,0.7034160463679673
2023-09-08 22:50,0,poiv3,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,121,0.7429652253891694,False,3,0.9,False,0.7315718729262329
