exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,LP_layer,LP_alpha,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-09-08 17:06,1,poiv3,SGD,0.05,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,126,0.7852333730295539,False,3,0.9,False,0.7726139579840479
2023-09-08 17:08,2,poiv3,SGD,0.05,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,121,0.759572864349008,False,3,0.9,False,0.7601474220344582
2023-09-08 17:10,0,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.8292256378098097,False,1,0.1,False,0.8356450201125792
2023-09-08 17:11,1,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,93,0.8330083509821726,False,1,0.1,False,0.8442006003912436
2023-09-08 17:13,2,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,85,0.8230887534085252,False,1,0.1,False,0.8385585094560692
2023-09-08 17:14,0,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,98,0.8303871279940453,False,1,0.5,False,0.8369464560678287
2023-09-08 17:16,1,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,86,0.8306554098057021,False,1,0.5,False,0.8300986980505911
2023-09-08 17:18,2,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.8272473327987061,False,1,0.5,False,0.841036415999554
2023-09-08 17:19,0,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,98,0.8236079360709857,False,1,0.9,False,0.8414270568187673
2023-09-08 17:21,1,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,95,0.8275371916446511,False,1,0.9,False,0.8411649578428013
2023-09-08 17:22,2,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,61,0.8360196562779463,False,1,0.9,False,0.837546373835198
2023-09-08 17:24,0,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.8341306773686628,False,2,0.1,False,0.8371717376698312
2023-09-08 17:25,1,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,90,0.831066603409357,False,2,0.1,False,0.843374376772025
2023-09-08 17:27,2,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.8217911538651844,False,2,0.1,False,0.8395096984423022
2023-09-08 17:28,0,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.8328300064963778,False,2,0.5,False,0.8400608378169709
2023-09-08 17:31,1,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,86,0.8303051628366853,False,2,0.5,False,0.8320798152237566
