exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,LP_layer,LP_alpha,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-09-08 13:00,0,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,0,0.28719688479944133,False,1,0.1,False,0.4264560305700013
2023-09-08 13:00,1,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,2,0.18598370130973452,False,1,0.1,False,0.26230768884867534
2023-09-08 13:01,2,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,6,0.39690228847820963,False,1,0.1,False,0.397459400220789
2023-09-08 13:01,0,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,0,0.29065197330617315,False,1,0.5,False,0.4264560305700013
2023-09-08 13:02,1,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,2,0.18598370130973452,False,1,0.5,False,0.25607715925365976
2023-09-08 13:02,2,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,6,0.3914378076038927,False,1,0.5,False,0.4036899298158046
2023-09-08 13:03,0,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,0,0.28492363120583775,False,1,0.9,False,0.4264560305700013
2023-09-08 13:03,1,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,2,0.18598370130973452,False,1,0.9,False,0.25607715925365976
2023-09-08 13:04,2,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,6,0.38779482035434815,False,1,0.9,False,0.4036899298158046
2023-09-08 13:04,0,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,0,0.2979379478052624,False,2,0.1,False,0.4264560305700013
2023-09-08 13:05,1,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,2,0.18598370130973452,False,2,0.1,False,0.25607715925365976
2023-09-08 13:05,2,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,6,0.39170166882991114,False,2,0.1,False,0.397459400220789
2023-09-08 13:06,0,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,0,0.27664412202947347,False,2,0.5,False,0.4326865601650169
2023-09-08 13:06,1,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,2,0.18755602835375965,False,2,0.5,False,0.2669952806902082
2023-09-08 13:07,2,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,5,0.3633238195542528,False,2,0.5,False,0.4083628270120663
2023-09-08 13:07,0,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,0,0.2779378932022089,False,2,0.9,False,0.43891708976003246
2023-09-08 13:08,1,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,2,0.19045151586106282,False,2,0.9,False,0.27482752661979154
2023-09-08 13:08,2,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,5,0.37372505885084983,False,2,0.9,False,0.4114780918095741
2023-09-08 13:09,0,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,0,0.29247346693094545,False,3,0.1,False,0.4264560305700013
2023-09-08 13:09,1,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,2,0.18598370130973452,False,3,0.1,False,0.25607715925365976
2023-09-08 13:10,2,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,6,0.3914378076038927,False,3,0.1,False,0.4036899298158046
2023-09-08 13:10,0,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,0,0.2761163995774366,False,3,0.5,False,0.44048941680405757
2023-09-08 13:11,1,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,2,0.19045151586106282,False,3,0.5,False,0.27015462942352986
2023-09-08 13:11,2,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,5,0.37216742645209594,False,3,0.5,False,0.40992045941082017
2023-09-08 13:12,0,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,0,0.27975938682698126,False,3,0.9,False,0.44673464104434446
2023-09-08 13:12,1,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,2,0.19516849699313835,False,3,0.9,False,0.2842174049481287
2023-09-08 13:13,2,poiv3,SGD,0.05,cora,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,6,0.3862371879555943,False,3,0.9,False,0.4021322974170507
