exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,alpha,off_diag_weight,loss_dual_weight,public_dataset_name,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-08-11 01:30,0,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.71996,134,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.72658
2023-08-11 03:04,1,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.71778,177,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.72496
2023-08-11 04:31,2,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.72108,132,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.7270999999999999
2023-08-11 05:23,0,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.6927,18,0.5,0.5,5000,1,0.001,0.5,1.0,0.0051,10,cifar100,True,0.7014799999999999
2023-08-11 06:22,1,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.6933199999999999,52,0.5,0.5,5000,1,0.001,0.5,1.0,0.0051,10,cifar100,True,0.7005000000000001
2023-08-11 07:13,2,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.69002,38,0.5,0.5,5000,1,0.001,0.5,1.0,0.0051,10,cifar100,True,0.69954
2023-08-11 07:38,0,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.64894,15,0.5,0.5,5000,1,0.001,0.5,0.1,0.0051,10,cifar100,True,0.65402
2023-08-11 08:03,1,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.6319800000000001,25,0.5,0.5,5000,1,0.001,0.5,0.1,0.0051,10,cifar100,True,0.6502399999999999
2023-08-11 08:29,2,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.63918,31,0.5,0.5,5000,1,0.001,0.5,0.1,0.0051,10,cifar100,True,0.64498
