exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,local_eval_whole_test_dataset
2023-07-10 16:42,0,local,256,Adam,0.01,femnist,,5,1,0.09742921492921493,False
2023-07-10 16:43,1,local,256,Adam,0.01,femnist,,5,1,0.08752842127842128,False
2023-07-10 16:43,2,local,256,Adam,0.01,femnist,,5,1,0.03971685971685972,False
2023-07-10 16:44,0,local,256,Adam,0.001,femnist,,5,1,0.09742921492921493,False
2023-07-10 16:44,1,local,256,Adam,0.001,femnist,,5,1,0.08752842127842128,False
2023-07-10 16:45,2,local,256,Adam,0.001,femnist,,5,1,0.03971685971685972,False
2023-07-10 16:46,0,local,256,SGD,0.01,femnist,,5,1,0.09742921492921493,False
2023-07-10 16:46,1,local,256,SGD,0.01,femnist,,5,1,0.08752842127842128,False
2023-07-10 16:47,2,local,256,SGD,0.01,femnist,,5,1,0.03971685971685972,False
2023-07-10 16:47,0,local,256,SGD,0.001,femnist,,5,1,0.09742921492921493,False
2023-07-10 16:48,1,local,256,SGD,0.001,femnist,,5,1,0.08752842127842128,False
2023-07-10 16:48,2,local,256,SGD,0.001,femnist,,5,1,0.03971685971685972,False
2023-07-10 18:56,0,local,256,Adam,0.01,femnist,,5,1,0.6989103389103388,False
2023-07-10 18:57,1,local,256,Adam,0.01,femnist,,5,1,0.6823938223938224,False
2023-07-10 18:59,2,local,256,Adam,0.01,femnist,,5,1,0.7108660446160446,False
2023-07-10 19:00,0,local,256,Adam,0.001,femnist,,5,1,0.6989103389103388,False
2023-07-10 19:02,1,local,256,Adam,0.001,femnist,,5,1,0.6823938223938224,False
2023-07-10 19:03,2,local,256,Adam,0.001,femnist,,5,1,0.7108660446160446,False
2023-07-10 19:05,0,local,256,SGD,0.01,femnist,,5,1,0.6989103389103388,False
2023-07-10 19:06,1,local,256,SGD,0.01,femnist,,5,1,0.6823938223938224,False
2023-07-10 19:08,2,local,256,SGD,0.01,femnist,,5,1,0.7108660446160446,False
2023-07-10 19:09,0,local,256,SGD,0.001,femnist,,5,1,0.6989103389103388,False
2023-07-10 19:11,1,local,256,SGD,0.001,femnist,,5,1,0.6823938223938224,False
2023-07-10 19:12,2,local,256,SGD,0.001,femnist,,5,1,0.7108660446160446,False
2023-07-10 21:47,0,local,256,Adam,0.01,femnist,,5,5,0.7010161947661947,False
2023-07-10 21:48,1,local,256,Adam,0.01,femnist,,5,5,0.6935049335049335,False
2023-07-10 21:50,2,local,256,Adam,0.01,femnist,,5,5,0.6992106392106392,False
2023-07-10 21:51,0,local,256,Adam,0.01,femnist,,5,10,0.6869771557271557,False
2023-07-10 21:53,1,local,256,Adam,0.01,femnist,,5,10,0.7121273058773058,False
2023-07-10 21:55,2,local,256,Adam,0.01,femnist,,5,10,0.7168382668382668,False
2023-07-10 21:56,0,local,256,Adam,0.001,femnist,,5,5,0.7010161947661947,False
2023-07-10 21:57,1,local,256,Adam,0.001,femnist,,5,5,0.6935049335049335,False
2023-07-10 21:59,2,local,256,Adam,0.001,femnist,,5,5,0.6992106392106392,False
2023-07-10 22:00,0,local,256,Adam,0.001,femnist,,5,10,0.6869771557271557,False
2023-07-10 22:01,1,local,256,Adam,0.001,femnist,,5,10,0.7121273058773058,False
2023-07-10 22:03,2,local,256,Adam,0.001,femnist,,5,10,0.7168382668382668,False
2023-07-10 22:05,0,local,256,SGD,0.01,femnist,,5,5,0.7010161947661947,False
2023-07-10 22:06,1,local,256,SGD,0.01,femnist,,5,5,0.6935049335049335,False
2023-07-10 22:08,2,local,256,SGD,0.01,femnist,,5,5,0.6992106392106392,False
2023-07-10 22:09,0,local,256,SGD,0.01,femnist,,5,10,0.6869771557271557,False
2023-07-10 22:10,1,local,256,SGD,0.01,femnist,,5,10,0.7121273058773058,False
2023-07-10 22:12,2,local,256,SGD,0.01,femnist,,5,10,0.7168382668382668,False
2023-07-10 22:14,0,local,256,SGD,0.001,femnist,,5,5,0.7010161947661947,False
2023-07-10 22:15,1,local,256,SGD,0.001,femnist,,5,5,0.6935049335049335,False
2023-07-10 22:16,2,local,256,SGD,0.001,femnist,,5,5,0.6992106392106392,False
2023-07-10 22:18,0,local,256,SGD,0.001,femnist,,5,10,0.6869771557271557,False
2023-07-10 22:19,1,local,256,SGD,0.001,femnist,,5,10,0.7121273058773058,False
2023-07-10 22:21,2,local,256,SGD,0.001,femnist,,5,10,0.7168382668382668,False
