exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,alpha,test_acc_based_on_local_proto,local_eval_whole_test_dataset,individual_best_test_acc_avg,individual_avg_test_acc_with_global_prototype,individual_avg_test_acc_with_local_prototype
2023-07-29 17:10,0,fedpcl,32,Adam,0.001,office_caltech,,5,1,0.11199999999999999,0,0.5,0.5,5000,1,0.001,1.0,0.24711111111111111,True,0.11199999999999999,0.0,0.24711111111111111
2023-07-29 17:11,0,fedpcl,32,Adam,0.001,office_caltech,,5,5,0.10311111111111111,0,0.5,0.5,5000,1,0.001,1.0,0.27288888888888885,True,0.10311111111111111,0.0,0.27288888888888885
2023-07-29 17:11,0,fedpcl,32,Adam,0.001,office_caltech,,5,5,0.10311111111111111,0,0.5,0.5,5000,1,0.001,1.0,0.27288888888888885,True,0.10311111111111111,0.0,0.27288888888888885
2023-07-29 17:12,0,fedpcl,32,Adam,0.001,office_caltech,,5,10,0.09777777777777778,0,0.5,0.5,5000,1,0.001,1.0,0.27911111111111114,True,0.09777777777777778,0.0,0.27911111111111114
2023-07-29 17:13,0,fedpcl,32,Adam,0.001,office_caltech,,5,10,0.09777777777777778,0,0.5,0.5,5000,1,0.001,1.0,0.27911111111111114,True,0.09777777777777778,0.0,0.27911111111111114
2023-07-29 17:13,0,fedpcl,32,Adam,0.0001,office_caltech,,5,1,0.11733333333333333,0,0.5,0.5,5000,1,0.001,1.0,0.26399999999999996,True,0.11733333333333333,0.0,0.26399999999999996
2023-07-29 17:13,0,fedpcl,32,Adam,0.0001,office_caltech,,5,1,0.11733333333333333,0,0.5,0.5,5000,1,0.001,1.0,0.26399999999999996,True,0.11733333333333333,0.0,0.26399999999999996
2023-07-29 17:14,0,fedpcl,32,Adam,0.0001,office_caltech,,5,5,0.1128888888888889,0,0.5,0.5,5000,1,0.001,1.0,0.2995555555555556,True,0.1128888888888889,0.0,0.2995555555555556
2023-07-29 17:14,0,fedpcl,32,Adam,0.0001,office_caltech,,5,5,0.1128888888888889,0,0.5,0.5,5000,1,0.001,1.0,0.2995555555555556,True,0.1128888888888889,0.0,0.2995555555555556
2023-07-29 17:15,0,fedpcl,32,Adam,0.0001,office_caltech,,5,10,0.10311111111111111,0,0.5,0.5,5000,1,0.001,1.0,0.30222222222222217,True,0.10311111111111111,0.0,0.30222222222222217
2023-07-29 17:15,0,fedpcl,32,Adam,0.0001,office_caltech,,5,10,0.10311111111111111,0,0.5,0.5,5000,1,0.001,1.0,0.30222222222222217,True,0.10311111111111111,0.0,0.30222222222222217
