exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-08-17 15:50,0,fedkd,256,SGD,0.005,hfl_mnist,,5,1,0.9707528786562161,171,0.5,0.5,5000,1,0.001,0.5,False,0.9741023977091203
2023-08-19 09:35,0,fedkd,256,SGD,0.01,hfl_mnist,,5,1,0.937997197867505,47,0.5,0.5,5000,1,0.001,0.5,False,0.9657098893270677
2023-08-19 09:54,0,fedkd,256,SGD,0.01,hfl_mnist,,5,1,0.937997197867505,47,0.5,0.5,5000,1,0.001,0.5,False,0.9657098893270677
