exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,alpha,off_diag_weight,loss_dual_weight,public_dataset_name,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-08-02 16:11,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.71498,19,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,cifar100,True,0.7182200000000001
2023-08-02 16:47,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.5273,17,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,fashion_minist,True,0.53672
2023-08-02 17:53,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.69692,92,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,cifar100,True,0.70638
2023-08-02 18:29,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.52264,18,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,fashion_minist,True,0.53424
2023-08-02 19:34,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.70172,81,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.7057800000000001
2023-08-02 20:08,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.5029199999999999,20,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,fashion_minist,True,0.52092
2023-08-02 21:00,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.71198,28,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,cifar100,True,0.71746
2023-08-02 21:36,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.50782,0,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,fashion_minist,True,0.52336
2023-08-02 22:10,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.7011399999999999,39,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,cifar100,True,0.7082200000000001
2023-08-02 22:45,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.5111,0,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,fashion_minist,True,0.52486
2023-08-02 23:24,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.70098,43,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,cifar100,True,0.70462
2023-08-03 00:00,0,fccl,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.5175599999999999,33,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,fashion_minist,True,0.5355599999999999
2023-08-03 01:36,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.5921000000000001,180,0.5,0.5,5000,1,0.001,0.5,1.0,0.0051,0,cifar100,True,0.61762
